input/10Tasks_100_2_S.npy
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[3, 3, 2, 10, 8, 2, 6, 2, 2, 2, 2, 2, 8, 3, 3, 2, 2]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[3, 4, 3, 10, 10, 3, 5, 3, 3, 3, 3, 3, 10, 3, 3, 3, 3]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[3, 4, 3, 10, 10, 3, 7, 3, 3, 3, 3, 3, 10, 4, 3, 3, 3]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[4, 4, 3, 10, 10, 3, 6, 3, 3, 3, 3, 3, 10, 4, 4, 3, 3]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[3, 3, 3, 10, 9, 3, 5, 3, 3, 3, 3, 3, 9, 4, 3, 3, 3]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[3, 4, 2, 10, 9, 2, 6, 3, 2, 2, 2, 2, 9, 3, 3, 3, 3]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[3, 3, 2, 10, 10, 2, 6, 3, 3, 3, 3, 3, 10, 3, 3, 3, 3]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[4, 4, 3, 10, 10, 3, 6, 3, 3, 3, 3, 3, 10, 4, 3, 3, 3]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[3, 4, 3, 10, 10, 3, 5, 3, 3, 3, 3, 3, 10, 4, 3, 3, 3]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[3, 4, 3, 10, 8, 3, 5, 3, 3, 3, 3, 3, 8, 4, 3, 3, 3]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[4, 3, 2, 10, 10, 2, 5, 3, 3, 2, 2, 2, 10, 4, 3, 3, 3]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[3, 4, 2, 10, 10, 2, 6, 2, 2, 2, 2, 2, 10, 4, 3, 2, 2]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[4, 4, 3, 10, 9, 3, 5, 2, 2, 3, 3, 3, 9, 4, 3, 3, 3]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[3, 4, 3, 10, 10, 3, 6, 3, 3, 3, 3, 3, 10, 4, 4, 3, 3]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[4, 4, 2, 10, 10, 2, 5, 2, 2, 2, 2, 2, 10, 4, 3, 3, 3]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[3, 3, 2, 10, 9, 2, 5, 2, 2, 2, 2, 2, 9, 3, 3, 2, 2]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[3, 3, 2, 10, 9, 2, 6, 2, 2, 2, 2, 2, 9, 3, 3, 2, 2]
Gmean: 
[3.264885401132342, 3.6137987775372009, 2.4788758694563695, 10.000000000000002, 9.4436685620728653, 2.4788758694563695, 5.5568354169405749, 2.5999883295809214, 2.5387099737989609, 2.5387099737989609, 2.5387099737989609, 2.5387099737989609, 9.4436685620728653, 3.6137987775372009, 3.1032726195301756, 2.7270180799490689, 2.7270180799490689]
input/10Tasks_150_2_S.npy
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[4, 4, 3, 10, 10, 3, 6, 3, 3, 3, 3, 3, 10, 4, 3, 3, 3]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 5, 3, 10, 10, 3, 6, 3, 3, 3, 3, 3, 10, 5, 4, 3, 3]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 5, 3, 10, 10, 3, 6, 3, 3, 3, 3, 3, 10, 5, 4, 3, 3]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[5, 5, 3, 10, 10, 3, 7, 4, 4, 4, 4, 4, 10, 6, 4, 4, 4]
[ILPcarry, ILPblock, ILPjit, Inflation, ILPbaseline, Combo, TDA, TDAcarry, TDAblock, TDAjit, TDAjitblock, TDAmix, CTbaseline, CTcarry, CTblock, CTjit, CTmix]
[4, 5, 3, 10, 9, 3, 6, 4, 4, 3, 3, 3, 9, 5, 5, 4, 4]
